Pedestrian_ID,Lane1_Line1_Time,Lane1_Line2_Time,Lane1_Line3_Time,Lane2_Line1_Time,Lane2_Line2_Time,Lane2_Line3_Time,Lane3_Line1_Time,Lane3_Line2_Time,Lane3_Line3_Time,Average_Speed,Max_Speed
3,10:22:19 PM,10:22:51 PM,,10:23:29 PM,10:23:45 PM,10:24:02 PM,10:24:05 PM,10:24:22 PM,10:25:11 PM,1.62,3.32
1,10:22:38 PM,10:22:59 PM,10:23:19 PM,10:23:33 PM,10:23:50 PM,,10:24:05 PM,10:24:16 PM,10:25:05 PM,2.15,7.04
2,,,,,,,,,,0.22,0.88
4,,,,,,,,,,0.23,0.72
5,,,,,,,,,,0.13,0.98
6,,,,,,,,,,0.14,0.95
7,,,,,,,,,,0.13,0.24
8,,,,,,,,,,0.25,1.82
9,,,,,,,,,,0.24,0.58
10,,,,,,,,,,2.05,5.74
11,,,,,,,,,,0.22,0.37
